year,deaths_directly_attributable_millions,note,source
2021,1.14,measured (GBD 2021 estimate),"Naghavi et al. 2024, The Lancet — Global burden of bacterial antimicrobial resistance 1990-2021: a systematic analysis with forecasts to 2050"
2050,1.91,forecast (GRAM Project),"Naghavi et al. 2024, The Lancet — Global burden of bacterial antimicrobial resistance 1990-2021: a systematic analysis with forecasts to 2050"
