category,count,total_new_entrants,fraction,source
existing_class,10,13,0.7692307692307693,"WHO / The Lancet Microbe (2024), Antibacterial agents in preclinical and clinical development"
new_class,3,13,0.23076923076923078,"WHO / The Lancet Microbe (2024), Antibacterial agents in preclinical and clinical development"
