year,total_clinical_candidates,innovative_candidates,innovative_fraction,source
2023,97,,,"WHO, Antibacterial agents in clinical development, 2023 overview"
2025,90,15.0,0.16666666666666666,"WHO, Analysis of antibacterial agents in clinical and preclinical development: overview and analysis 2025"
